01:59:57 GMT+0000 (UTC),Cyan 👽,679,Sardaukar,548,That Guy 👽,275,Nutsaculus🎃,192,1 🎃,169,average,168,baby wolf 🎃,145,far right,140,bitch please.,129,😈-o-,120
01:59:58 GMT+0000 (UTC),Cyan 👽,679,Sardaukar,548,That Guy 👽,275,Nutsaculus🎃,192,1 🎃,169,average,168,baby wolf 🎃,150,far right,140,bitch please.,138,😈-o-,120
01:59:58 GMT+0000 (UTC),Cyan 👽,679,Sardaukar,548,That Guy 👽,276,Nutsaculus🎃,192,1 🎃,170,average,168,baby wolf 🎃,150,far right,140,bitch please.,138,😈-o-,120
01:59:58 GMT+0000 (UTC),Cyan 👽,679,Sardaukar,548,That Guy 👽,276,Nutsaculus🎃,192,1 🎃,170,average,168,baby wolf 🎃,150,far right,140,bitch please.,138,😈-o-,120
01:59:59 GMT+0000 (UTC),Cyan 👽,679,Sardaukar,548,That Guy 👽,276,Nutsaculus🎃,192,1 🎃,170,average,168,baby wolf 🎃,150,far right,140,bitch please.,138,😈-o-,120
01:59:59 GMT+0000 (UTC),Cyan 👽,679,Sardaukar,548,That Guy 👽,276,Nutsaculus🎃,192,1 🎃,170,average,169,baby wolf 🎃,150,far right,140,bitch please.,138,😈-o-,120
01:59:59 GMT+0000 (UTC),Cyan 👽,680,Sardaukar,548,That Guy 👽,276,Nutsaculus🎃,192,average,173,1 🎃,170,baby wolf 🎃,151,far right,140,bitch please.,138,😈-o-,120
02:00:00 GMT+0000 (UTC),Cyan 👽,680,Sardaukar,548,That Guy 👽,277,Nutsaculus🎃,192,average,173,1 🎃,170,baby wolf 🎃,153,far right,140,bitch please.,138,😈-o-,120
02:00:00 GMT+0000 (UTC),Cyan 👽,680,Sardaukar,548,That Guy 👽,278,Nutsaculus🎃,192,average,173,1 🎃,171,baby wolf 🎃,153,far right,140,bitch please.,138,😈-o-,120
02:00:00 GMT+0000 (UTC),Cyan 👽,680,Sardaukar,548,That Guy 👽,278,Nutsaculus🎃,192,average,173,1 🎃,171,baby wolf 🎃,156,far right,140,bitch please.,139,😈-o-,120
02:00:01 GMT+0000 (UTC),Cyan 👽,680,Sardaukar,548,That Guy 👽,278,Nutsaculus🎃,192,average,173,1 🎃,171,baby wolf 🎃,158,bitch please.,140,far right,140,😈-o-,120
02:00:01 GMT+0000 (UTC),Cyan 👽,680,Sardaukar,548,That Guy 👽,278,Nutsaculus🎃,192,average,173,1 🎃,172,baby wolf 🎃,159,bitch please.,140,far right,140,😈-o-,120
02:00:01 GMT+0000 (UTC),Cyan 👽,681,Sardaukar,548,That Guy 👽,278,Nutsaculus🎃,193,average,173,1 🎃,172,baby wolf 🎃,159,bitch please.,140,😈-o-,120,😈VictorSupreme,111
